Specimen,Species,Common,SzCl,SizeRangeLb,SizeRangeKg,SkelPort,LPort,Element,Side,ActorTaxon,Effector,NumBreaks,trab,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3
MN12AA0206,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,6,False,2736.616,4938.085611979167,54.86872,28.621214,11.226501
MN12AA0207,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,6,False,2017.3594,3464.0250651041665,55.235092,21.449146,7.3758698
MN12AA0208,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,False,1986.1311,3040.177083333333,59.39251,19.415188,11.330954
MN12AA0209,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,6,False,1018.5409,1255.1995442708333,33.171043,20.632557,7.5869055
MN12AA0210,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,False,1017.47766,1359.5764973958333,26.529701,21.666786,7.86345
MN12AA0301,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,,Crocuta crocuta,teeth,11,False,3602.4846,6098.033854166667,76.21596,28.913136,15.052621
MN12AA0302,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,,Crocuta crocuta,teeth,11,False,1419.1143,2083.5021158854165,54.30047,14.36162,7.789485
MN12AA0303,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,,Crocuta crocuta,teeth,6,False,820.27515,890.9064127604166,34.75689,14.762732,5.835227
MN12AA0402,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,8,True,7917.874,19728.451822916668,125.5813,30.076088,17.141638
MN12AA0403,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,11,True,6419.603,12348.861979166666,103.576004,27.334778,19.997519
MN12AA0404,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,9,True,5954.317,12713.115885416666,100.03708,26.391298,14.555277
MN12AA0405,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,15,True,5660.986,10022.313802083334,80.09404,33.727394,18.587406
MN12AA0406,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,7,False,3613.2073,6498.834635416667,72.820526,27.289772,17.165611
MN12AA0407,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,5,True,3274.2417,6584.171223958333,60.227165,30.50927,13.690195
MN12AA0408,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,8,False,1009.53595,1001.876953125,31.247353,20.809021,7.6678133
MN12AA0409,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,6,False,752.44135,878.0721028645834,27.338816,13.820131,8.701466
MN12AA0410,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,4,False,756.47815,675.4097493489584,35.11086,12.272902,5.5093565
MN12AA0411,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,7,False,637.4323,687.231201171875,30.96742,11.844456,6.120641
MN12AA0502,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,13,False,4078.9866,6407.581380208333,72.65785,30.260515,18.025728
MN12AA0503,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,7,True,3175.6135,4742.731119791667,59.72175,27.676609,12.309722
MN12AA0505,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,7,False,4451.3677,5990.147135416667,73.88512,31.305359,19.00998
MN12AA0506,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,12,True,3347.869,5346.623372395833,66.91008,30.648643,11.422586
MN12AA0507,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,9,False,2147.1484,2946.3151041666665,65.93576,18.076756,9.237839
MN12AA0508,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,True,2095.6262,2928.4117838541665,72.18787,15.318603,9.079912
MN12AA0509,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,4,False,1543.8469,2188.12255859375,44.88307,19.731485,9.545487
MN12AA0510,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,False,2848.366,3867.283203125,72.21091,23.986076,15.440729
MN12AA0511,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,4,False,1329.451,1470.0436197916667,42.564873,18.628298,4.922284
MN12AA0512,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,6,True,1573.9275,2161.884114583333,47.071186,19.717833,7.6662884
MN12AA0513,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,False,1580.4282,1925.1041666666667,45.16157,23.602766,7.463891
MN12AA0514,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,7,True,757.6887,799.14111328125,27.466637,15.819067,5.0266223
MN12AA0603,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,7,False,4329.5415,6927.58984375,82.562225,29.05616,15.1628895
MN12AA0604,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,6,False,3909.7322,6209.30078125,81.048996,27.33928,17.652681
MN12AA0605,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,6,False,3474.013,4590.888020833333,83.39012,24.718973,12.905233
MN12AA0606,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,4,False,2925.3528,4910.555989583333,81.73959,25.286308,12.002272
MN12AA0607,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,False,2836.9434,4295.681966145833,73.77624,22.61608,11.656794
MN12AA0608,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,False,2882.1853,3746.2076822916665,66.93872,31.17829,14.964588
MN12AA0609,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,False,1294.3988,1686.9376627604167,52.938133,14.900687,12.724276
MN12AA0703,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,7,True,1997.2997,2844.381184895833,64.29199,17.08723,7.173979
MN12AA0704,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,False,1493.3842,1745.7122395833333,43.752026,19.959255,10.792226
MN12AA0802,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,13,True,6569.852,13277.893229166666,78.43944,35.192738,19.813154
MN12AA0803,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,11,False,4112.7383,7186.563151041667,62.43129,35.052048,19.742552
MN12AA0804,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,8,False,2168.8777,3516.5485026041665,57.961067,24.390854,9.344683
MN12AA0805,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,6,False,2381.3572,3988.4248046875,52.014763,24.596867,9.265799
MN12AA0806,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,6,True,1496.4353,2145.90478515625,39.593388,22.363888,7.0437174
MN12AA1002,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,9,False,4629.0117,7766.176432291667,75.58115,32.403168,16.691818
MN12AA1003,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,12,True,3562.2664,5918.972005208333,70.34244,31.078938,14.976694
MN12AA1004,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,14,True,3624.6335,6251.789713541667,76.237335,29.825613,14.4554825
MN12AA1005,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,True,2637.509,3482.119140625,59.340862,30.777037,11.556171
MN12AA1007,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,9,False,1631.5289,2421.290364583333,42.88407,24.186302,9.523409
MN12AA1008,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,False,1382.5797,2130.96044921875,40.46213,23.209217,7.8442974
MN12AA1102,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,11,True,5014.772,7203.755208333333,102.03386,25.760916,21.827873
MN12AA1103,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,8,True,4692.724,7673.370442708333,81.321236,27.705475,22.201954
MN12AA1104,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,9,False,4368.364,6590.360677083333,86.44789,32.263824,18.64289
MN12AA1105,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,8,True,3281.3098,4435.337890625,79.20408,24.94105,12.210806
MN12AA1106,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,7,True,2761.6003,4163.821614583333,60.305767,24.016296,11.067455
MN12AA1107,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,6,False,2193.2332,3011.255208333333,58.642937,19.877157,11.079302
MN12AA1108,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,7,False,2199.8828,3113.6393229166665,66.138565,19.72437,6.416593
MN12AA1109,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,5,False,1623.8715,2184.2057291666665,68.967804,16.244564,7.224905
MN12AA1110,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,7,False,1529.7039,1916.51220703125,48.01413,22.944605,7.080303
MN12AA1111,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,5,False,1493.0488,2332.454427083333,41.925453,22.667824,8.884432
MN12AA1112,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,7,False,1447.4056,1914.35791015625,46.59765,16.300804,10.9786625
MN12AA1113,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Crocuta crocuta,teeth,5,False,1106.4243,1321.3097330729167,33.31301,21.552074,6.6985846
MN12AA5603,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,4,False,2322.8882,3364.1162109375,75.56612,17.269508,10.985894
MN12AA5604,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,7,False,2069.2847,3210.5703125,68.22302,21.139503,8.9587345
MN12AA5606,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,9,True,7110.179,14387.7109375,81.09118,44.061073,22.73094
MN12AA5607,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,6,True,3054.6328,4970.256510416667,53.637447,36.696266,13.601716
MN12AA5703,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,9,True,13096.126,24683.44270833333,154.81252,40.77879,25.85578
MN12AA5704,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,4,True,4795.0957,7090.928385416667,90.27869,27.685688,12.029737
MN12AA5705,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,9,True,4444.2324,6975.619791666667,93.507034,34.068848,19.01044
MN12AA5707,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,5,True,3108.366,5266.823893229167,54.485233,36.186638,14.485708
MN12AA5803,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,9,False,7639.357,15802.240885416666,103.02802,38.450546,18.360893
MN12AA5804,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,9,False,6052.5645,11718.403645833334,85.392395,33.88267,14.49929
MN12AA5806,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,10,False,4706.426,9183.651041666666,70.99887,35.861156,14.401982
MN12AA5807,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,9,False,3944.33,8187.671875,80.14312,27.299955,17.493773
MN12AA5809,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,6,False,1970.3862,2992.4384765625,44.768215,35.657333,11.8959255
MN12AA5903,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,9,True,23234.89,40248.661458333336,198.10464,41.787857,35.71631
MN12AA5904,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,7,True,6161.7905,10079.947916666666,112.52266,26.636658,14.103136
MN12AA5905,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,5,False,4245.8115,7361.024739583333,113.770164,29.620071,13.831081
MN12AA5906,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,6,True,4286.1523,7426.461588541667,90.82895,28.594051,9.687016
MN12AA6002,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,6,True,5646.677,7501.677734375,103.169174,33.322334,11.469797
MN12AA6003,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,8,True,14582.453,37305.4921875,180.49521,30.479483,30.655752
MN12AA6004,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,6,True,11410.13,24866.604166666668,196.70575,36.605774,28.29726
MN12AA6005,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,8,False,3450.3481,5522.83984375,109.216446,21.965738,12.677628
MN12AA6006,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,5,True,2405.8433,3628.3391927083335,61.940712,22.605713,11.23126
MN12AA6010,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,8,True,5108.8237,7764.194661458333,75.341805,31.878548,10.823689
MN12AA6011,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,3,False,1153.6158,1625.7364908854167,35.274483,19.80357,7.439103
MN12AA6017,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,5,False,926.2139,1214.3949381510415,38.19262,17.0922,7.1620965
MN12AA6203,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,8,False,7034.952,16165.671875,107.03381,31.640518,14.3811035
MN12AA6204,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,7,False,7116.7007,14415.255208333334,125.438675,29.35998,20.48893
MN12AA6206,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,7,False,3437.6606,5667.046223958333,77.55495,25.149323,16.217209
MN12AA6207,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,7,False,3988.061,8136.458333333333,91.043495,30.46941,16.705452
MN12AA6303,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,6,True,20778.969,49069.770833333336,236.78561,51.868565,24.330006
MN12AA6304,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,10,True,17931.69,40660.1171875,216.58548,39.48848,29.02441
MN12AA6310,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,3,False,1975.7417,3218.509765625,55.294945,19.08381,16.264729
MN12AA6311,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,4,True,869.69464,931.9649251302084,31.944645,17.418982,5.4936256
MN12AA6402,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,11,True,18789.162,39496.55729166666,175.14157,45.42591,31.092512
MN12AA6403,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,9,True,9159.439,19426.4921875,118.494,40.16844,22.119776
MN12AA6404,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,5,False,3129.136,4653.776041666667,124.9957,22.5356,8.771878
MN12AA6405,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,5,True,1658.0413,2335.3819986979165,49.863556,23.736748,11.913254
MN12AA6406,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,4,True,2782.2896,2904.248372395833,46.689156,25.999031,10.48753
MN12AA6503,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,6,False,4477.771,7853.588541666667,91.37736,28.835972,11.713662
MN12AA6507,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,10,True,2724.4932,5976.287760416667,54.45237,23.763977,10.680115
MN13AA0103,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,9,True,9226.138,18256.1484375,140.38507,31.966736,17.113287
MN13AA0104,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,5,True,6030.235,13780.639322916666,113.632904,28.093143,15.699091
MN13AA0105,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,3,True,1782.9347,2986.5830078125,37.179092,26.548992,9.497093
MN13AA0107,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,7,False,2838.4978,5008.4921875,77.128365,25.815897,9.618059
MN13AA0108,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,6,True,3001.0054,5042.755533854167,63.840652,27.088823,12.282986
MN13AA0110,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,6,True,7580.012,14083.923177083334,121.002945,34.763004,28.921982
MN13AA0119,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,5,True,962.2316,1219.972412109375,35.14729,15.998121,8.713529
MN13AA0205,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,6,False,1979.1178,2410.4187825520835,59.18575,26.818838,7.092102
MN13AA0206,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,10,False,7479.682,13189.286458333334,119.7424,38.73691,23.331318
MN13AA0207,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,9,True,4237.0347,6282.21875,83.15715,25.284063,14.02409
MN13AA0210,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,8,False,5012.05,9013.464192708334,107.35605,29.163902,13.182823
MN13AA0309,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,6,False,4739.462,10520.799479166666,82.6582,30.828714,15.538321
MN13AA0413,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,left,Homo sapiens,HSAnv,9,True,4319.7065,6376.620442708333,128.90736,21.80532,13.937973
MN13AA0414,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,left,Homo sapiens,HSAnv,5,False,1829.4727,2324.9796549479165,90.412704,13.741675,10.371255
MN13AA0508,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,4,False,1894.748,2096.048828125,49.552437,23.654453,13.358664
MN13AA0606,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,7,True,2377.615,4176.59765625,60.91343,21.358418,9.040321
MN13AA0608,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,5,True,1681.3146,2713.4796549479165,41.874214,18.64899,13.434937
MN13AA0704,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,6,False,3385.1443,5573.438802083333,66.57684,34.66529,18.665085
MN13AA0705,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,6,False,3734.2544,5959.755208333333,85.537964,25.96032,9.622572
MN13AA0707,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,4,False,2192.422,3433.8134765625,43.934116,29.940437,12.843214
MN13AA0708,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,6,True,1713.7163,1867.29541015625,54.253212,21.54477,6.631667
MN13AA0709,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,4,True,1209.2018,1192.1598307291667,47.923393,18.061268,6.0593605
MN13AA0710,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,4,False,1064.4352,1112.0802408854167,36.709976,18.960863,5.4825525
MN13AA0712,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,4,False,906.939,879.464111328125,40.162403,14.453463,5.171775
MN13AA0803,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,8,False,9628.999,21295.561197916668,123.176926,34.411934,24.959995
MN13AA0804,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,10,False,13580.103,30543.15625,179.1069,33.17028,22.979269
MN13AA0805,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,4,True,4784.248,8960.083984375,87.8461,37.14741,12.325127
MN13AA0904,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,7,True,15414.481,33707.268229166664,214.49411,32.453617,25.625927
MN13AA0907,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,12,True,12895.567,23961.265625,151.4422,38.86798,32.323433
MN13AA0909,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,7,False,3708.296,7023.263020833333,92.48451,22.768284,15.755944
MN13AA0911,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,2,False,1060.724,1060.802734375,57.595703,12.783771,6.796693
MN13AA1011,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,8,False,5169.5605,13078.00390625,86.41496,32.238625,21.206087
MN13AA1018,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,3,False,1025.6917,1457.9152018229167,41.187813,16.376276,8.397161
MN13AA1019,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,5,False,1064.4144,1613.1360677083333,36.75573,17.484257,7.6004424
MN13AA1307,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,8,False,3574.655,6269.670572916667,88.28624,22.688412,12.491934
MN13AA1309,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,6,False,3418.7168,5850.286458333333,100.4998,21.93011,10.63369
MN13AA1311,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,12,False,4123.5327,5375.556640625,97.03632,25.842945,7.5391083
MN13AA1314,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,9,False,7679.385,16453.143229166668,149.73859,29.041431,17.41452
MN13AA1407,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,7,True,11353.381,23293.140625,137.98978,39.932518,27.812702
MN13AA1409,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,5,True,5652.3125,11424.51953125,115.75749,24.2431,18.984295
MN13AA1411,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,5,True,3173.091,5165.12109375,85.17421,29.43882,11.974514
MN13AA1412,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,6,False,3693.579,6531.305338541667,74.13034,31.294731,15.461721
MN13AA1413,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,6,True,3246.4565,5512.203776041667,71.760315,25.545952,13.808743
MN13AA1414,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,6,True,2738.173,4687.779947916667,70.61191,22.803318,12.375917
MN13AA1415,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,8,True,2358.7825,3155.3033854166665,53.167038,23.730675,15.482008
